date,equity,ret,peak,dd,ym
2024-09-24,1280907.5674348946,0.011909360111389988,1307594.960999465,-0.020409526161045966,2024-09
2024-09-25,1286592.137812121,0.004437923954661471,1307594.960999465,-0.016062178131437954,2024-09
2024-09-26,1319718.550149923,0.025747407717051623,1319718.550149923,0.0,2024-09
2024-09-27,1299178.8397309703,-0.015563705167756604,1319718.550149923,-0.015563705167756625,2024-09
2024-09-30,1299604.997824296,0.000328021116333735,1319718.550149923,-0.015240789275366429,2024-09
2024-10-01,1268823.9056862523,-0.023684959806691337,1319718.550149923,-0.03856477160064842,2024-10
2024-10-02,1296810.4550039514,0.022057079152021868,1319718.550149923,-0.01735831866830173,2024-10
2024-10-03,1306759.824218821,0.007672184609923692,1319718.550149923,-0.009819310283719074,2024-10
2024-10-04,1338588.6330960202,0.02435704579165978,1338588.6330960202,0.0,2024-10
2024-10-07,1327325.781893276,-0.008413974931711777,1338588.6330960202,-0.00841397493171181,2024-10
2024-10-08,1353435.4530796062,0.019670883774357155,1353435.4530796062,0.0,2024-10
2024-10-09,1373463.2252589383,0.01479772983171153,1373463.2252589383,0.0,2024-10
2024-10-10,1378138.7507704769,0.003404186894525073,1378138.7507704769,0.0,2024-10
2024-10-11,1406783.337649513,0.020784980367921393,1406783.337649513,0.0,2024-10
2024-10-14,1413990.5907148672,0.005123214693029003,1413990.5907148672,0.0,2024-10
2024-10-15,1380389.2993256208,-0.02376344765650715,1413990.5907148672,-0.023763447656507175,2024-10
2024-10-16,1399837.6270276073,0.014089016563289548,1413990.5907148672,-0.01000923470085091,2024-10
2024-10-17,1406976.6746978045,0.005099911255676143,1413990.5907148672,-0.004960369653886243,2024-10
2024-10-18,1387517.3153804129,-0.013830619702043953,1413990.5907148672,-0.018722384369665668,2024-10
2024-10-21,1391433.8242663506,0.0028226738812726065,1413990.5907148672,-0.01595255767374848,2024-10
2024-10-22,1380631.541284156,-0.007763418420484518,1413990.5907148672,-0.023592129714134824,2024-10
2024-10-23,1367956.9171668643,-0.00918030896607128,1413990.5907148672,-0.03255585564026264,2024-10
2024-10-24,1383620.6155577684,0.011450432535071853,1413990.5907148672,-0.02147820173382109,2024-10
2024-10-25,1385520.4869997045,0.0013731158820370088,1413990.5907148672,-0.020134577911702478,2024-10
2024-10-28,1384221.457178329,-0.0009375753253483015,1413990.5907148672,-0.02105327555361458,2024-10
2024-10-29,1403644.0580865766,0.014031425974164423,1413990.5907148672,-0.007317257056894344,2024-10
2024-10-30,1399624.2193796868,-0.0028638590273160976,1413990.5907148672,-0.010160160491532899,2024-10
2024-10-31,1353617.0524065276,-0.032871085207106125,1413990.5907148672,-0.0426972701974041,2024-10
2024-11-01,1397925.6854518095,0.03273350684117622,1413990.5907148672,-0.011361394742333997,2024-11
2024-11-04,1387377.6485734899,-0.0075454918584677245,1413990.5907148672,-0.01882115928927275,2024-11
2024-11-05,1409879.5625435042,0.016219025867362694,1413990.5907148672,-0.0029073942912765105,2024-11
2024-11-06,1466852.227121225,0.0404095967423905,1466852.227121225,0.0,2024-11
2024-11-07,1543993.8387255364,0.05258989977177582,1543993.8387255364,0.0,2024-11
2024-11-08,1632157.3331554602,0.05710093668683092,1632157.3331554602,0.0,2024-11
