theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
space-infrastructure,宇宙：インフラ,94,資本財,3395019933116968248,4,20260410,2026-04-10T09:51:18.174664
cafe,カフェ,95,消費者一般,4499743358293550881,2,20260410,2026-04-10T09:51:18.174664
semiconductor-design,半導体設計ソフト,96,テクノロジー,-3257691825091875282,2,20260410,2026-04-10T09:51:18.174664
consumer-lending,消費者レンディング,97,金融,-4490211735345641394,10,20260410,2026-04-10T09:51:18.174664
re-service,不動産サービス,98,不動産,1273247055624892876,2,20260410,2026-04-10T09:51:18.174664
gold-mining,金鉱山,99,素材,-8096312807715602149,14,20260410,2026-04-10T09:51:18.174664
defence-comm,防衛：電子・情報通信,100,資本財,-4861793366758910941,8,20260410,2026-04-10T09:51:18.174664
food-wholesale,食品卸売,101,消費者必需品,-6086104782729142268,3,20260410,2026-04-10T09:51:18.174664
regional-bank,地銀,102,金融,-6484850315142394639,12,20260410,2026-04-10T09:51:18.174664
battery-storage,電力貯蔵,103,エネルギー,-5922625771745326087,4,20260410,2026-04-10T09:51:18.174664
lifescience-consumables,生命科学：消耗品,104,ヘルスケア,3521658091833715407,3,20260410,2026-04-10T09:51:18.174664
server-brand,AIサーバ：自社ブランド,105,テクノロジー,7735226244834282527,3,20260410,2026-04-10T09:51:18.174664
hyperscalers,ハイパースケーラー,106,テクノロジー,-221673048131304021,5,20260410,2026-04-10T09:51:18.174664
consumer-staples,日用品,107,消費者必需品,-1718303432613165247,9,20260410,2026-04-10T09:51:18.174664
nextgen-batteries,次世代セル,108,エネルギー,2534661371052390172,5,20260410,2026-04-10T09:51:18.174664
chinese-ev,中国EV,109,消費者一般,8043826472009076225,3,20260410,2026-04-10T09:51:18.174664
nextgen-bank,次世代銀行,110,金融,-2504451108423528171,2,20260410,2026-04-10T09:51:18.174664
video-streaming,動画配信サービス,111,消費者一般,-4682546075187884684,3,20260410,2026-04-10T09:51:18.174664
infra-measure,インフラ計測,112,資本財,-6217376520435586405,3,20260410,2026-04-10T09:51:18.174664
payment-tech,決済テック,113,金融,-4843142991617779394,4,20260410,2026-04-10T09:51:18.174664
toys,おもちゃ,114,消費者一般,-4091872987473520800,2,20260410,2026-04-10T09:51:18.174664
used-car-sales,中古車販売,115,消費者一般,-311938437640618684,4,20260410,2026-04-10T09:51:18.174664
life-insurance,生命保険,116,金融,-9196714949936075634,6,20260410,2026-04-10T09:51:18.174664
openai-related,OpenAI関連,117,テクノロジー,3416337330429940692,5,20260410,2026-04-10T09:51:18.174664
auto-maintenance,自動車メンテナンス,118,消費者一般,-8764546635799291761,3,20260410,2026-04-10T09:51:18.174664
facility-sanitation,施設衛生管理,119,資本財,5315643644131453014,3,20260410,2026-04-10T09:51:18.174664
analog-semi-comm,アナログ半導体：通信,120,テクノロジー,-5245520782075118375,2,20260410,2026-04-10T09:51:18.174664
beverages-diversified,総合飲料,121,消費者必需品,-8062020906144827165,5,20260410,2026-04-10T09:51:18.174664
autonomous,自動運転,122,テクノロジー,-9103055168430569089,5,20260410,2026-04-10T09:51:18.174664
live-entertainment,ライブエンタメ,123,消費者一般,3030419881811166943,3,20260410,2026-04-10T09:51:18.174664
drilling-services,掘削サービス,124,エネルギー,3562611497943752769,4,20260410,2026-04-10T09:51:18.174664
satellite-communications,宇宙：衛星通信,125,資本財,7128085292187346672,5,20260410,2026-04-10T09:51:18.174664
discount-apparel,ディスカウント衣料,126,消費者一般,-7398380870046726398,4,20260410,2026-04-10T09:51:18.174664
biotech-diversified,バイオテック：総合,127,ヘルスケア,-830364418641971828,5,20260410,2026-04-10T09:51:18.174664
insurance-brokerage,保険仲介,128,金融,1171971038283124751,6,20260410,2026-04-10T09:51:18.174664
advertising-platforms,ネットメディア,129,通信,2507024308540581649,6,20260410,2026-04-10T09:51:18.174664
biotech-genomics,バイオテック：ゲノム,130,ヘルスケア,-4133173093861730194,6,20260410,2026-04-10T09:51:18.174664
ai-pharma,AI創薬,131,ヘルスケア,-5332681653226423790,7,20260410,2026-04-10T09:51:18.174664
cosmetics-personal-care,化粧品・パーソナルケア,132,消費者必需品,2761727147009407521,5,20260410,2026-04-10T09:51:18.174664
pharma,製薬大手,133,ヘルスケア,5227082862645027203,11,20260410,2026-04-10T09:51:18.174664
infrastructure-consulting,インフラ設計,134,資本財,5996494030363137370,4,20260410,2026-04-10T09:51:18.174664
payment-infrastructure,決済インフラ,135,金融,3787730401317058223,2,20260410,2026-04-10T09:51:18.174664
pe-private-credit,PE・プライベトクレジト,136,金融,-4258933467833420192,7,20260410,2026-04-10T09:51:18.174664
defence-general,防衛：統合,137,資本財,4414598737309050219,7,20260410,2026-04-10T09:51:18.174664
lifescience-pf,生命科学：総合,138,ヘルスケア,6347694172022352763,3,20260410,2026-04-10T09:51:18.174664
content-studios,コンテンツ・スタジオ,139,消費者一般,4479197360011934618,4,20260410,2026-04-10T09:51:18.174664
fast-food,ファーストフード,140,消費者一般,-4574164201525034450,6,20260410,2026-04-10T09:51:18.174664
power-supply-IPP,電力：IPP,141,公益,2084696601185712570,7,20260410,2026-04-10T09:51:18.174664
refrigerant,次世代冷媒,142,テクノロジー,659630348217837231,2,20260410,2026-04-10T09:51:18.174664
railways,鉄道貨物,143,資本財,-8667681519703899686,5,20260410,2026-04-10T09:51:18.174664
tobacco,タバコ,144,消費者必需品,-1009401671047058625,3,20260410,2026-04-10T09:51:18.174664
hospital-operators,病院運営,145,ヘルスケア,4339635884813867335,7,20260410,2026-04-10T09:51:18.174664
silver-mining,銀鉱山,146,素材,7254711376996151568,5,20260410,2026-04-10T09:51:18.174664
pharma-distribution,医薬品卸,147,ヘルスケア,5201583517795831607,4,20260410,2026-04-10T09:51:18.174664
lifescience-service,生命科学：創薬受託,148,ヘルスケア,-7417408545776565402,4,20260410,2026-04-10T09:51:18.174664
grocery-retail,食品小売・量販店,149,消費者必需品,-2073692344696729722,4,20260410,2026-04-10T09:51:18.174664
property-casualty-insurance,損害保険,150,金融,-5882260114719366543,6,20260410,2026-04-10T09:51:18.174664
water-utilities,水道,151,公益,123373130252055515,3,20260410,2026-04-10T09:51:18.174664
government-dx,行政DX,152,テクノロジー,600104215137279642,3,20260410,2026-04-10T09:51:18.174664
reit,REIT,153,不動産,-319276217113871903,10,20260410,2026-04-10T09:51:18.174664
confectionery,菓子,154,消費者必需品,92469748374676954,3,20260410,2026-04-10T09:51:18.174664
defence-service,防衛：サービス,155,資本財,-2352159242729218470,9,20260410,2026-04-10T09:51:18.174664
alcoholic-beverages,アルコール飲料,156,消費者必需品,-4884999614112573953,5,20260410,2026-04-10T09:51:18.174664
humanoid-brain,人型ロボ：脳,157,テクノロジー,-8436032221485771421,3,20260410,2026-04-10T09:51:18.174664
industrial-gases,産業ガス,158,素材,8809239965775529530,2,20260410,2026-04-10T09:51:18.174664
storage-solutions,ストレージ ソリュション,159,テクノロジー,-8959075220788342215,2,20260410,2026-04-10T09:51:18.174664
biotech-specialized,バイオテック：特化,160,ヘルスケア,4199813864831301700,3,20260410,2026-04-10T09:51:18.174664
power-supply-regulated,電力：規制事業者,161,公益,-6255808204139039953,8,20260410,2026-04-10T09:51:18.174664
gas-utilities,ガス小売,162,公益,-196049973867485826,11,20260410,2026-04-10T09:51:18.174664
health-insurance-services,医療保険＋診療,163,ヘルスケア,1532326919900079371,6,20260410,2026-04-10T09:51:18.174664
cdn,CDN,164,テクノロジー,5372950647686204067,3,20260410,2026-04-10T09:51:18.174664
high-pe,高PER,165,その他,-4209797648871924768,5,20260410,2026-04-10T09:51:18.174664
cybersecurity-end,サイバー：端末保護,166,テクノロジー,6131648594767831138,2,20260410,2026-04-10T09:51:18.174664
meat-products,食肉,167,消費者必需品,-4502786399089904707,2,20260410,2026-04-10T09:51:18.174664
multi-utilities,電気・ガス小売,168,公益,5313315380004982318,12,20260410,2026-04-10T09:51:18.174664
dividend,高配当,169,その他,5284900139723851875,9,20260410,2026-04-10T09:51:18.174664
dollar-store,ドルストア,170,消費者必需品,3362286352196894868,2,20260410,2026-04-10T09:51:18.174664
cybersecurity-gen,サイバー：統合,171,テクノロジー,-7672735788617959203,3,20260410,2026-04-10T09:51:18.174664
delivery,宅配デリバリー,172,消費者一般,-9115923111995195873,3,20260410,2026-04-10T09:51:18.174664
re-pf,不動産検索PF,173,不動産,4141084406924526792,2,20260410,2026-04-10T09:51:18.174664
offshore-drilling,海洋掘削サービス,174,エネルギー,3760973145427576924,3,20260410,2026-04-10T09:51:18.174664
environmental-waste,廃棄物・リサイクル,175,資本財,1033246533395344913,6,20260410,2026-04-10T09:51:18.174664
cable-tv,ケーブルTV,176,通信,664074614798865975,2,20260410,2026-04-10T09:51:18.174664
agribusiness,アグリビジネス,177,消費者必需品,5984664400672688880,2,20260410,2026-04-10T09:51:18.174664
soft-vertical,ソフト：業界特化,178,テクノロジー,-2100146768916256062,9,20260410,2026-04-10T09:51:18.174664
natgas-infra,天然ガス：輸送・需要接続,179,エネルギー,-5425896912717935170,3,20260410,2026-04-10T09:51:18.174664
processed-foods,加工食品,180,消費者必需品,-8260814622456791218,5,20260410,2026-04-10T09:51:18.174664
rideshare,ライドシェア,181,消費者一般,-7511250097229973148,2,20260410,2026-04-10T09:51:18.174664
ad-tech,広告テック,182,通信,-4508221346038943511,6,20260410,2026-04-10T09:51:18.174664
thermal-coal,石炭：一般炭,183,素材,-2338820745950438748,2,20260410,2026-04-10T09:51:18.174664
alminium,アルミ,184,素材,1808955037780887687,2,20260410,2026-04-10T09:51:18.174664
cybersecurity-data,サイバー：データ保護,185,テクノロジー,8511642903207811847,2,20260410,2026-04-10T09:51:18.174664
food-agriculture,化学：農業,186,素材,824490160429398682,4,20260410,2026-04-10T09:51:18.174664
drilling-equipment,掘削機器,187,エネルギー,-2013936981293683808,3,20260410,2026-04-10T09:51:18.174664
soft-enterprise,ソフト：エンタープライズ,188,テクノロジー,-5402384623318907499,4,20260410,2026-04-10T09:51:18.174664
ai-infrastructure-software,ソフト：AI利用基盤,189,テクノロジー,6514628281007730917,4,20260410,2026-04-10T09:51:18.174664
soft-comm,ソフト：コミュニケション,190,テクノロジー,2458592460828079534,3,20260410,2026-04-10T09:51:18.174664
cybersecurity-other,サイバー：ID/監視/診断,191,テクノロジー,-6452712814191219620,4,20260410,2026-04-10T09:51:18.174664
mobile-telecom,モバイル通信,192,通信,-6953954130612973654,3,20260410,2026-04-10T09:51:18.174664
consulting,コンサル,193,テクノロジー,-3628261635297074231,4,20260410,2026-04-10T09:51:18.174664
soft-marketing,ソフト：マーケ・販売,194,テクノロジー,-5140141498791252223,6,20260410,2026-04-10T09:51:18.174664
natgas-upstream,天然ガス：収集・加工,195,エネルギー,7123267286007891537,3,20260410,2026-04-10T09:51:18.174664
natural-gas-production,天然ガス：生産,196,エネルギー,-9080268576062954620,5,20260410,2026-04-10T09:51:18.174664
cybersecurity-cloud,サイバー：クラウド,197,テクノロジー,-6392822047014648364,2,20260410,2026-04-10T09:51:18.174664
oil-supermajors-non-us,スーパーメジャー：米国外,198,エネルギー,-4219115564153721457,4,20260410,2026-04-10T09:51:18.174664
gas-fracking,天然ガス掘削：米,199,エネルギー,6818623743784682081,5,20260410,2026-04-10T09:51:18.174664
coking-coal,石炭：原料炭中心,200,素材,-3177358649405224703,6,20260410,2026-04-10T09:51:18.174664
soft-productivity,ソフト：生産性・開発,201,テクノロジー,425429950775606192,4,20260410,2026-04-10T09:51:18.174664
natgas-exprot,天然ガス：輸出,202,エネルギー,1893611917594944570,3,20260410,2026-04-10T09:51:18.174664
oil-supermajors-us,スーパーメジャー：米国,203,エネルギー,5848766648138046481,2,20260410,2026-04-10T09:51:18.174664
oil-exploration-production,石油探鉱・生産,204,エネルギー,-1454404767466217086,2,20260410,2026-04-10T09:51:18.174664
soft-back-office,ソフト：バックオフィス,205,テクノロジー,-2371399120198431860,3,20260410,2026-04-10T09:51:18.174664
refinary,石油精製,206,エネルギー,2735680815987153250,7,20260410,2026-04-10T09:51:18.174664
commodity-chemicals,化学：汎用,207,素材,-3347249358786296385,2,20260410,2026-04-10T09:51:18.174664
