date,equity,month_ret,peak,dd
2005-11-30,1446142.9,0.043952465,1446142.9,0.0
2005-12-30,1443372.0,-0.0019160509,1446142.9,-0.0019160509
2006-01-31,1478033.2,0.024014115,1478033.2,0.0
2006-02-28,1486495.8,0.005725503,1486495.8,0.0
2006-03-31,1511034.2,0.016507626,1511034.2,0.0
2006-04-28,1530121.5,0.012631893,1530121.5,0.0
2006-05-31,1484032.9,-0.03012091,1530121.5,-0.03012091
2006-06-30,1487909.0,0.0026118755,1530121.5,-0.027587652
2006-07-31,1494572.4,0.0044783354,1530121.5,-0.023232877
2006-08-31,1527187.6,0.021822453,1530121.5,-0.0019174218
2006-09-29,1568428.4,0.027004361,1568428.4,0.0
2006-10-31,1617860.0,0.03151667,1617860.0,0.0
2006-11-30,1650031.6,0.019885302,1650031.6,0.0
2006-12-29,1672090.2,0.013368607,1672090.2,0.0
2007-01-31,1697239.0,0.015040278,1697239.0,0.0
2007-02-28,1663943.5,-0.019617438,1697239.0,-0.019617438
2007-03-30,1683230.2,0.011590958,1697239.0,-0.008253872
2007-04-30,1757790.0,0.04429567,1757790.0,0.0
2007-05-31,1817414.5,0.03392017,1817414.5,0.0
2007-06-29,1790837.8,-0.014623404,1817414.5,-0.014623404
2007-07-31,1734766.4,-0.03131014,1817414.5,-0.04547566
2007-08-31,1757028.2,0.012832761,1817414.5,-0.03322643
2007-09-28,1825047.0,0.038712382,1825047.0,0.0
2007-10-31,1849806.8,0.013566613,1849806.8,0.0
2007-11-30,1778159.0,-0.03873259,1849806.8,-0.03873259
2007-12-31,1758140.6,-0.0112579465,1849806.8,-0.049554408
2008-01-31,1651841.6,-0.060461044,1849806.8,-0.107019365
2008-02-29,1609153.9,-0.025842547,1849806.8,-0.1300962
2008-03-31,1594763.9,-0.008942604,1849806.8,-0.13787544
2008-04-30,1670773.9,0.04766226,1849806.8,-0.09678465
2008-05-30,1696030.2,0.015116572,1849806.8,-0.083131135
2008-06-30,1554285.6,-0.083574355,1849806.8,-0.15975785
2008-07-31,1540319.1,-0.008985817,1849806.8,-0.16730809
2008-08-29,1564122.8,0.015453696,1849806.8,-0.15443993
2008-09-30,1416822.8,-0.094174206,1849806.8,-0.23406988
2008-10-31,1182782.6,-0.16518658,1849806.8,-0.36059123
2008-11-28,1100453.1,-0.0696066,1849806.8,-0.40509832
2008-12-31,1111237.8,0.009800196,1849806.8,-0.3992682
2009-01-30,1019989.2,-0.08211434,1849806.8,-0.4485969
2009-02-27,910392.4,-0.107448995,1849806.8,-0.50784457
2009-03-31,986243.25,0.083316684,1849806.8,-0.46683985
2009-04-30,1084222.6,0.09934604,1849806.8,-0.41387248
2009-05-29,1147599.1,0.05845344,1849806.8,-0.37961137
2009-06-30,1146850.0,-0.00065279007,1849806.8,-0.38001633
2009-07-31,1232411.5,0.0746057,1849806.8,-0.33376205
2009-08-31,1277936.4,0.03693962,1849806.8,-0.3091514
2009-09-30,1323252.5,0.035460353,1849806.8,-0.28465366
2009-10-30,1297812.6,-0.0192253,1849806.8,-0.29840636
2009-11-30,1377766.9,0.061606884,1849806.8,-0.25518334
2009-12-31,1404086.1,0.019102812,1849806.8,-0.24095523
2010-01-29,1353058.2,-0.036342442,1849806.8,-0.26854074
2010-02-26,1395266.5,0.031194687,1849806.8,-0.24572313
2010-03-31,1480214.8,0.060883164,1849806.8,-0.19980031
2010-04-30,1503113.8,0.015470028,1849806.8,-0.1874212
2010-05-28,1383684.5,-0.07945454,1849806.8,-0.2519843
2010-06-30,1312094.5,-0.05173868,1849806.8,-0.29068565
2010-07-30,1401711.4,0.068300605,1849806.8,-0.242239
2010-08-31,1338661.9,-0.044980407,1849806.8,-0.27632338
2010-09-30,1458547.0,0.08955598,1849806.8,-0.21151388
2010-10-29,1514266.5,0.038202047,1849806.8,-0.18139207
2010-11-30,1514266.5,0.0,1849806.8,-0.18139207
2010-12-31,1615495.4,0.066850066,1849806.8,-0.12666804
2011-01-31,1653136.8,0.02330017,1849806.8,-0.10631919
2011-02-28,1710562.4,0.03473735,1849806.8,-0.07527506
2011-03-31,1710772.2,0.00012266636,1849806.8,-0.075161636
2011-04-29,1760318.6,0.02896142,1849806.8,-0.048377037
2011-05-31,1740577.5,-0.011214495,1849806.8,-0.05904901
2011-06-30,1711209.1,-0.016872764,1849806.8,-0.07492548
2011-07-29,1676977.2,-0.02000451,1849806.8,-0.093431115
2011-08-31,1584784.2,-0.05497569,1849806.8,-0.14327037
2011-09-30,1474766.8,-0.06942111,1849806.8,-0.2027455
2011-10-31,1635733.2,0.10914707,1849806.8,-0.115727484
2011-11-30,1629086.0,-0.004063785,1849806.8,-0.11932099
2011-12-30,1646109.1,0.010449529,1849806.8,-0.11011833
2012-01-31,1722446.5,0.04637444,1849806.8,-0.06885058
2012-02-29,1797210.0,0.043405414,1849806.8,-0.02843362
2012-03-30,1855013.5,0.032162905,1855013.5,0.0
2012-04-30,1842630.0,-0.0066756606,1855013.5,-0.00667572
2012-05-31,1731969.5,-0.060055733,1855013.5,-0.06633049
2012-06-29,1802258.2,0.040583134,1855013.5,-0.028439283
2012-07-31,1823578.2,0.011829615,1855013.5,-0.016946077
2012-08-31,1869263.5,0.025052547,1869263.5,0.0
2012-09-28,1916656.9,0.025354028,1916656.9,0.0
2012-10-31,1881777.1,-0.018198192,1916656.9,-0.018198252
2012-11-30,1892427.4,0.0056596994,1916656.9,-0.012641549
2012-12-31,1909332.8,0.0089331865,1916656.9,-0.0038213134
2013-01-31,2007071.8,0.051190138,2007071.8,0.0
2013-02-28,2032679.6,0.012758851,2032679.6,0.0
2013-03-28,2109859.2,0.03796935,2109859.2,0.0
2013-04-30,2150394.8,0.019212365,2150394.8,0.0
2013-05-31,2201165.0,0.023609757,2201165.0,0.0
2013-06-28,2171791.8,-0.013344467,2201165.0,-0.013344407
2013-07-31,2284023.2,0.05167687,2284023.2,0.0
2013-08-30,2215520.0,-0.029992402,2284023.2,-0.029992342
2013-09-30,2285632.8,0.031646132,2285632.8,0.0
2013-10-31,2391473.0,0.04630673,2391473.0,0.0
2013-11-29,2462350.8,0.029637694,2462350.8,0.0
2013-12-31,2526194.0,0.025927782,2526194.0,0.0
2014-01-31,2437150.0,-0.03524828,2526194.0,-0.03524828
2014-02-28,2548078.8,0.045515776,2548078.8,0.0
2014-03-31,2569211.2,0.0082935095,2569211.2,0.0
2014-04-30,2587071.0,0.0069514513,2587071.0,0.0
2014-05-30,2647107.5,0.023206353,2647107.5,0.0
2014-06-30,2701752.2,0.020643234,2701752.2,0.0
2014-07-31,2665447.5,-0.01343751,2701752.2,-0.01343751
2014-08-29,2770635.0,0.0394634,2770635.0,0.0
2014-09-30,2732413.5,-0.013795257,2770635.0,-0.013795197
2014-10-31,2796764.5,0.023550987,2796764.5,0.0
2014-11-28,2873597.2,0.02747202,2873597.2,0.0
2014-12-31,2866307.0,-0.002537012,2873597.2,-0.0025369525
2015-01-30,2781380.5,-0.02962923,2873597.2,-0.03209102
2015-02-27,2937706.8,0.056204557,2937706.8,0.0
2015-03-31,2891565.2,-0.015706599,2937706.8,-0.015706658
2015-04-30,2920000.8,0.009833932,2937706.8,-0.006027162
2015-05-29,2957540.8,0.012856126,2957540.8,0.0
2015-06-30,2897468.0,-0.020311713,2957540.8,-0.020311713
2015-07-31,2962919.5,0.022589207,2962919.5,0.0
2015-08-31,2782329.0,-0.06095016,2962919.5,-0.06095016
2015-09-30,2711341.2,-0.025513828,2962919.5,-0.0849089
2015-10-30,2941967.0,0.08505964,2962919.5,-0.0070715547
2015-11-30,2952720.0,0.003655076,2962919.5,-0.0034424067
2015-12-31,2901683.2,-0.017284691,2962919.5,-0.020667553
2016-01-29,2757229.8,-0.049782634,2962919.5,-0.06942129
2016-02-29,2754941.0,-0.0008300543,2962919.5,-0.07019377
2016-03-31,2940249.0,0.06726384,2962919.5,-0.0076513886
2016-04-29,2951848.5,0.003945112,2962919.5,-0.003736496
2016-05-31,3002052.2,0.01700759,3002052.2,0.0
2016-06-30,3012422.0,0.0034542084,3012422.0,0.0
2016-07-29,3122363.0,0.036495924,3122363.0,0.0
2016-08-31,3126102.2,0.0011975765,3126102.2,0.0
2016-09-30,3126284.8,5.8412552e-05,3126284.8,0.0
2016-10-31,3072084.2,-0.017337024,3126284.8,-0.017337024
2016-11-30,3185255.0,0.036838412,3185255.0,0.0
2016-12-30,3249824.8,0.02027142,3249824.8,0.0
2017-01-31,3307979.5,0.017894745,3307979.5,0.0
2017-02-28,3437955.2,0.03929162,3437955.2,0.0
2017-03-31,3442254.5,0.0012505054,3442254.5,0.0
2017-04-28,3476423.0,0.0099262,3476423.0,0.0
2017-05-31,3525485.5,0.014112949,3525485.5,0.0
2017-06-30,3547962.0,0.006375432,3547962.0,0.0
2017-07-31,3620887.5,0.020554185,3620887.5,0.0
2017-08-31,3631452.0,0.0029176474,3631452.0,0.0
2017-09-29,3704617.2,0.020147681,3704617.2,0.0
2017-10-31,3791913.2,0.0235641,3791913.2,0.0
2017-11-30,3907816.2,0.030565858,3907816.2,0.0
2017-12-29,3955214.5,0.012129068,3955214.5,0.0
2018-01-31,4178127.0,0.056359172,4178127.0,0.0
2018-02-28,4026208.8,-0.036360383,4178127.0,-0.036360383
2018-03-29,3915845.2,-0.027411282,4178127.0,-0.062774956
2018-04-30,3936083.0,0.0051681995,4178127.0,-0.057931244
2018-05-31,4031765.5,0.02430904,4178127.0,-0.035030425
2018-06-29,4054945.0,0.0057492256,4178127.0,-0.029482603
2018-07-31,4205166.5,0.03704655,4205166.5,0.0
2018-08-31,4339394.0,0.031919718,4339394.0,0.0
2018-09-28,4365188.5,0.005944252,4365188.5,0.0
2018-10-31,4063535.2,-0.069104314,4365188.5,-0.069104314
2018-11-30,4138911.0,0.018549323,4365188.5,-0.05183685
