date,equity,month_ret,peak,dd
2009-02-27,1387636.0,-0.11517353,3670405.5,-0.6219393
2009-03-31,1531762.6,0.10386493,3670405.5,-0.5826721
2009-04-30,1451059.0,-0.0526868,3670405.5,-0.6046598
2009-05-29,1328313.6,-0.084590204,3670405.5,-0.6381017
2009-06-30,1345764.8,0.013137853,3670405.5,-0.63334715
2009-07-31,1551939.4,0.1532026,3670405.5,-0.57717496
2009-08-31,1738112.8,0.11996172,3670405.5,-0.5264521
2009-09-30,1846625.5,0.062431287,3670405.5,-0.49688786
2009-10-30,1617049.0,-0.12432215,3670405.5,-0.55943584
2009-11-30,1580243.0,-0.022761226,3670405.5,-0.5694636
2009-12-31,1751426.2,0.10832711,3670405.5,-0.5228249
2010-01-29,1613458.2,-0.07877465,3670405.5,-0.5604142
2010-02-26,1663230.5,0.030848172,3670405.5,-0.5468538
2010-03-31,1910704.0,0.14879078,3670405.5,-0.47942972
2010-04-30,1745099.5,-0.08667194,3670405.5,-0.5245486
2010-05-28,1598518.9,-0.08399555,3670405.5,-0.56448436
2010-06-30,1509236.2,-0.055853367,3670405.5,-0.5888094
2010-07-30,1541497.0,0.021375572,3670405.5,-0.58001995
2010-08-31,1355568.5,-0.120615534,3670405.5,-0.6306761
2010-09-30,1498770.6,0.10563989,3670405.5,-0.59166074
2010-10-29,1513689.4,0.009954035,3670405.5,-0.5875962
2010-11-30,1519337.9,0.0037315842,3670405.5,-0.5860572
2010-12-31,1604606.8,0.056122426,3670405.5,-0.5628258
2011-01-31,1590799.4,-0.008604797,3670405.5,-0.56658757
2011-02-28,1608646.2,0.011218752,3670405.5,-0.5617252
2011-03-31,1565454.5,-0.026849726,3670405.5,-0.57349277
2011-04-29,1563208.6,-0.0014346717,3670405.5,-0.57410467
2011-05-31,1534085.8,-0.018630207,3670405.5,-0.5820392
2011-06-30,1529476.2,-0.0030047316,3670405.5,-0.583295
2011-07-29,1517577.8,-0.00777948,3670405.5,-0.58653677
2011-08-31,1470176.8,-0.031234646,3670405.5,-0.5994511
2011-09-30,1370437.5,-0.067841664,3670405.5,-0.62662506
2011-10-31,1514948.5,0.10544884,3670405.5,-0.5872531
2011-11-30,1558716.2,0.028890574,3670405.5,-0.5753286
2011-12-30,1449666.4,-0.06996131,3670405.5,-0.6050392
2012-01-31,1422657.5,-0.01863109,3670405.5,-0.61239773
2012-02-29,1490951.6,0.048004583,3670405.5,-0.593791
2012-03-30,1561920.4,0.04759972,3670405.5,-0.5744556
2012-04-30,1640891.6,0.05056037,3670405.5,-0.55293995
2012-05-31,1589529.4,-0.03130144,3670405.5,-0.5669336
