theme,name,rank,industry,members_hash,n_members,snapshot_date,retrieved_at
drilling-services,掘削サービス,113,エネルギー,4927536048237481543,4,20260416,2026-04-16T22:32:57.178853
hvac,空調,114,資本財,6756377322703035390,3,20260416,2026-04-16T22:32:57.178853
onsite-power,オンサイト電源,115,テクノロジー,-5345115709042337476,5,20260416,2026-04-16T22:32:57.178853
dollar-store,ドルストア,116,消費者必需品,5051385895812156686,2,20260416,2026-04-16T22:32:57.178853
home-interior,住宅設備：屋内,117,消費者一般,4135138844360720235,5,20260416,2026-04-16T22:32:57.178853
consumer-lending,消費者レンディング,118,金融,8261033079686209210,10,20260416,2026-04-16T22:32:57.178853
facility-equipment,施設設備,119,資本財,-8010557471616487802,6,20260416,2026-04-16T22:32:57.178853
consumer-staples,日用品,120,消費者必需品,-3187494611851176084,9,20260416,2026-04-16T22:32:57.178853
property-casualty-insurance,損害保険,121,金融,7426332105129257598,6,20260416,2026-04-16T22:32:57.178853
life-insurance,生命保険,122,金融,4130828038547185749,6,20260416,2026-04-16T22:32:57.178853
high-pe,高PER,123,その他,-8755713532343084658,5,20260416,2026-04-16T22:32:57.178853
mortgage-origination,住宅ローン組成,124,金融,6965039572566876853,3,20260416,2026-04-16T22:32:57.178853
diversified-resources,多角化資源,125,素材,-7544168376759879807,3,20260416,2026-04-16T22:32:57.178853
humanoid-brain,人型ロボ：脳,126,テクノロジー,6676298043589207918,3,20260416,2026-04-16T22:32:57.178853
industrial-distribution,産業資材流通,127,資本財,-2792335934744502582,4,20260416,2026-04-16T22:32:57.178853
home-exterior,住宅設備：外装,128,消費者一般,-4172571961096145991,6,20260416,2026-04-16T22:32:57.178853
delivery,宅配デリバリー,129,消費者一般,874802342629034603,3,20260416,2026-04-16T22:32:57.178853
autonomous,自動運転,130,テクノロジー,7252599165341017677,5,20260416,2026-04-16T22:32:57.178853
food-wholesale,食品卸売,131,消費者必需品,-5684185607838496371,3,20260416,2026-04-16T22:32:57.178853
natgas-infra,天然ガス：輸送・需要接続,132,エネルギー,2777853183318705366,3,20260416,2026-04-16T22:32:57.178853
hotels-resorts,ホテル・リゾート,133,消費者一般,-1460446205926862684,5,20260416,2026-04-16T22:32:57.178853
robotics-logistics,ロボ：物流/サービス,134,テクノロジー,1855184856471677642,6,20260416,2026-04-16T22:32:57.178853
luxury,ラグジュアリー,135,消費者一般,-6370717287668824692,2,20260416,2026-04-16T22:32:57.178853
megabanks,メガバンク,136,金融,8602582418446875284,4,20260416,2026-04-16T22:32:57.178853
robotics-industrial,ロボ：産業/医療,137,テクノロジー,8053798177214419812,3,20260416,2026-04-16T22:32:57.178853
semi-component,半導体製造装置：部品,138,テクノロジー,8326973474521959868,4,20260416,2026-04-16T22:32:57.178853
government-dx,行政DX,139,テクノロジー,1866261495476876435,3,20260416,2026-04-16T22:32:57.178853
heat-infra,熱管理インフラ,140,テクノロジー,-1676364986740354423,6,20260416,2026-04-16T22:32:57.178853
dc-transformer,DC変圧器・スイッチギア,141,テクノロジー,-3016282552605338885,4,20260416,2026-04-16T22:32:57.178853
tobacco,タバコ,142,消費者必需品,-8913406050358631296,3,20260416,2026-04-16T22:32:57.178853
gold-mining,金鉱山,143,素材,-8683094964476958896,14,20260416,2026-04-16T22:32:57.178853
used-car-sales,中古車販売,144,消費者一般,7987593443399129679,4,20260416,2026-04-16T22:32:57.178853
payment-infrastructure,決済インフラ,145,金融,-4299518503600301543,2,20260416,2026-04-16T22:32:57.178853
water-utilities,水道,146,公益,-6737730746161583004,3,20260416,2026-04-16T22:32:57.178853
rideshare,ライドシェア,147,消費者一般,-5687512135518956091,2,20260416,2026-04-16T22:32:57.178853
activewear,アクティブウェア,148,消費者一般,4747939691484502516,6,20260416,2026-04-16T22:32:57.178853
cosmetics-personal-care,化粧品・パーソナルケア,149,消費者必需品,-4952304518458413444,5,20260416,2026-04-16T22:32:57.178853
facility-sanitation,施設衛生管理,150,資本財,-792540417694749870,3,20260416,2026-04-16T22:32:57.178853
defence-comm,防衛：電子・情報通信,151,資本財,6419561308420953307,8,20260416,2026-04-16T22:32:57.178853
alcoholic-beverages,アルコール飲料,152,消費者必需品,-1184764908683776961,5,20260416,2026-04-16T22:32:57.178853
homebuilders,ホームビルダー,153,消費者一般,451468548171511164,8,20260416,2026-04-16T22:32:57.178853
diversified-industrials,機械：多角化,154,資本財,696832057355585859,7,20260416,2026-04-16T22:32:57.178853
regional-bank,地銀,155,金融,-8109644681961725537,12,20260416,2026-04-16T22:32:57.178853
environmental-waste,廃棄物・リサイクル,156,資本財,-1676282165135632881,6,20260416,2026-04-16T22:32:57.178853
airlines-legacy,旅客航空：メガキャリア,157,消費者一般,-4252429379008119500,3,20260416,2026-04-16T22:32:57.178853
metal-specialty-packaging,金属・機能性パッケージ,158,素材,7632535758673102531,4,20260416,2026-04-16T22:32:57.178853
corrugated-paper-packaging,製紙・段ボール,159,素材,-3920101437174100585,5,20260416,2026-04-16T22:32:57.178853
ai-pharma,AI創薬,160,ヘルスケア,-7944071892800326088,7,20260416,2026-04-16T22:32:57.178853
pharma,製薬大手,161,ヘルスケア,3472600768948476608,11,20260416,2026-04-16T22:32:57.178853
auto-maintenance,自動車メンテナンス,162,消費者一般,-1666913113125267687,3,20260416,2026-04-16T22:32:57.178853
semi-fab-infra,半導体工場インフラ,163,テクノロジー,4834013144855403084,5,20260416,2026-04-16T22:32:57.178853
soft-back-office,ソフト：バックオフィス,164,テクノロジー,3108522980774861420,3,20260416,2026-04-16T22:32:57.178853
lifestyle-furniture,ライフスタイル・家具,165,消費者一般,-2876514894652633994,4,20260416,2026-04-16T22:32:57.178853
rail-manufacturing,鉄道製造・リース,166,資本財,1983860444796224347,7,20260416,2026-04-16T22:32:57.178853
live-entertainment,ライブエンタメ,167,消費者一般,-4182711686277908335,3,20260416,2026-04-16T22:32:57.178853
defence-service,防衛：サービス,168,資本財,-3688049745069864047,9,20260416,2026-04-16T22:32:57.178853
pub-construction-electric,インフラ工事：電力/通信,169,資本財,7170977526718062830,4,20260416,2026-04-16T22:32:57.178853
rare-earth,レアアース,170,素材,-1571257440076736035,12,20260416,2026-04-16T22:32:57.178853
biotech-diversified,バイオテック：総合,171,ヘルスケア,4669768936922188750,5,20260416,2026-04-16T22:32:57.178853
home-distribution,住宅設備：流通,172,消費者一般,-4297035981524106982,5,20260416,2026-04-16T22:32:57.178853
industrial-batteries,産業用電池,173,エネルギー,7712471704143783233,3,20260416,2026-04-16T22:32:57.178853
pub-construction-transpo,インフラ工事：交通,174,資本財,2833293441234899082,2,20260416,2026-04-16T22:32:57.178853
aggregates-concrete,骨材・基礎資材,175,素材,-4840620443034024275,7,20260416,2026-04-16T22:32:57.178853
infrastructure-consulting,インフラ設計,176,資本財,-4636332544466543613,4,20260416,2026-04-16T22:32:57.178853
ota,オンライン旅行予約,177,消費者一般,2717677849198143838,4,20260416,2026-04-16T22:32:57.178853
fast-casual,高品質ファーストフード,178,消費者一般,-2903775749076861181,2,20260416,2026-04-16T22:32:57.178853
silver-mining,銀鉱山,179,素材,8522034832311691339,5,20260416,2026-04-16T22:32:57.178853
defence-general,防衛：統合,180,資本財,-1768302686134805419,7,20260416,2026-04-16T22:32:57.178853
discount-apparel,ディスカウント衣料,181,消費者一般,3491080231630393168,4,20260416,2026-04-16T22:32:57.178853
fast-food,ファーストフード,182,消費者一般,-3024278847311197560,6,20260416,2026-04-16T22:32:57.178853
battery-storage,電力貯蔵,183,エネルギー,7118662248224116303,4,20260416,2026-04-16T22:32:57.178853
nuclear-traditional,原発機器（現行）,184,エネルギー,-4869257107352544645,4,20260416,2026-04-16T22:32:57.178853
cafe,カフェ,185,消費者一般,6597004649655795440,2,20260416,2026-04-16T22:32:57.178853
infra-measure,インフラ計測,186,資本財,1052009330192120984,3,20260416,2026-04-16T22:32:57.178853
